ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Area,Recommended
100402,cute,low,0,L,Spring,o-neck,sleevless,empire,null,null,null,null,B,1
100403,Brief,Average,0,M,Automn,o-neck,short,natural,cotton,null,null,print,A,0
100404,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,E,0
100405,Casual,Average,4.7,free,Summer,v-neck,full,natural,cotton,null,sashes,solid,D,0
100407,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,null,print,A,0
100408,Casual,Average,4.4,free,Summer,o-neck,capsleeves,natural,cotton,null,null,solid,B,0
100409,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,null,lace,solid,D,1
100410,Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork,E,1
100411,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,null,button,solid,E,0
100412,work,Average,4.6,M,Spring,v-neck,full,null,null,chiffon,null,null,A,0
100413,Brief,Average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,null,solid,C,0
100414,Casual,Low,4.7,free,winter,o-neck,sleevless,natural,milksilk,null,null,animal,D,0
100415,Casual,Low,0,S,Automn,o-neck,full,natural,null,null,beading,solid,A,1
100418,party,Average,4.8,M,Summer,o-neck,full,null,cotton,null,null,solid,C,1
100421,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,null,lace,geometric,E,0
100422,Sexy,Low,4.6,free,Spring,o-neck,full,natural,null,null,lace,leopard,E,1
100424,party,Average,0,M,Summer,o-neck,full,natural,cotton,null,null,patchwork,B,1
100425,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid,E,1
100426,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,null,null,solid,D,1
100427,Casual,Average,0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,null,null,A,0
100428,Casual,Average,0,free,Winter,v-neck,full,natural,null,chiffon,ruffles,print,D,0
100429,Sexy,Average,4.5,S,Winter,v-neck,sleevless,null,polyster,null,null,null,D,0
100430,party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,null,B,1
100431,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,D,1
100432,Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,null,plaid,D,0
100433,Casual,low,4.7,S,summer,o-neck,full,natural,cotton,null,null,patchwork,A,0
100434,Casual,Average,0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid,A,0
100435,vintage,Low,4.8,S,Summer,o-neck,short,natural,null,chiffon,ruffles,print,D,0
100437,cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,D,1
100438,Sexy,Low,4.3,free,Summer,o-neck,full,empire,cotton,null,null,null,A,0
100439,party,very-high,0,M,Winter,v-neck,cap-sleeves,null,null,chiffon,lace,null,D,0
100440,Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,solid,B,1
100443,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal,D,0
100445,bohemian,Low,4.4,L,Summer,bowneck,short,natural,cotton,null,null,dot,B,0
100446,Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,null,solid,C,1
100447,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,null,null,lace,solid,D,1
100448,party,Average,4.7,free,Winter,o-neck,sleevless,null,polyster,null,null,null,D,0
100450,Casual,Low,4.8,M,Winter,v-neck,sleevless,natural,polyster,null,null,print,D,0
100451,Casual,Low,4.7,L,Automn,o-neck,full,null,cotton,chiffon,lace,print,C,0
100452,Casual,low,4.9,L,Summer,boat-neck,short,null,null,chiffon,null,patchwork,C,1
100453,Casual,Low,4.4,free,winter,halter,sleevless,natural,null,null,draped,null,A,1
100454,work,low,4.7,free,Summer,o-neck,full,empire,cotton,null,null,solid,E,0
100458,cute,Low,0,free,Winter,o-neck,sleevless,natural,null,chiffon,null,null,B,0
100460,Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,null,button,solid,C,0
100461,Casual,Average,4.8,L,Autumn,boat-neck,sleevless,natural,null,null,sashes,solid,E,0
100463,work,Average,4.8,M,winter,turndowncollor,full,natural,null,null,null,solid,A,0
100464,Casual,Average,5,M,Winter,o-neck,sleevless,natural,null,chiffon,sashes,solid,D,1
100465,Sexy,very-high,0,free,Winter,v-neck,sleevless,natural,polyster,knitting,null,solid,D,0
100466,party,very-high,4.9,L,Spring,slash-neck,sleevless,null,null,chiffon,flowers,null,D,1
100467,Sexy,Low,4.5,free,Summer,o-neck,sleevless,empire,cotton,null,sashes,solid,A,1
100469,Casual,Low,5,M,Spring,o-neck,sleevless,natural,spandex,jersey,null,print,B,0
100471,Casual,Low,5,M,Automn,o-neck,sleevless,empire,null,chiffon,null,print,C,1
100472,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,null,null,solid,E,0
100473,Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,E,1
100475,Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,null,floral,A,0
100477,party,Average,5,M,Winter,o-neck,capsleeves,empire,polyster,null,lace,null,E,1
100478,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,null,Tiered,solid,A,0
100479,Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,null,null,solid,B,0
100481,bohemian,Low,5,XL,Spring,v-neck,thressqatar,natural,null,shiffon,null,print,D,1
100483,Casual,Low,4.4,free,Summer,o-neck,sleevless,null,null,null,null,animal,E,0
100484,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid,E,0
100485,cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,null,lace,solid,C,1
100487,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null,C,1
100488,Casual,Average,4.6,L,Summer,bowneck,full,dropped,cotton,null,null,patchwork,A,0
100489,Casual,Low,4.7,free,winter,o-neck,sleevless,natural,null,null,null,null,A,1
100491,Casual,Average,4.4,M,Summer,o-neck,short,empire,null,null,lace,patchwork,A,0
100492,Casual,Average,4.8,M,Automn,v-neck,short,null,null,chiffon,embroidary,print,C,1
100493,Casual,Average,5,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,null,B,1
100495,Sexy,Low,0,free,winter,v-neck,NULL,dropped,cotton,null,lace,null,B,1
100496,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,D,0
100497,Sexy,Low,4.8,free,Spring,v-neck,sleevless,null,null,null,sequined,solid,C,1
100498,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,null,rivet,solid,A,0
100499,vintage,Low,0,free,Summer,o-neck,sleevless,natural,cotton,batik,null,print,E,1
100501,Sexy,Average,0,free,Spring,v-neck,full,natural,cotton,wollen,lace,solid,D,1
100504,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,A,1
100505,Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print,D,0
100506,Casual,Average,0,free,Spring,o-neck,short,null,cotton,null,lace,null,C,1
100508,Casual,low,4.7,free,Summer,o-neck,capsleeves,natural,chiffonfabric,chiffon,null,print,D,1
100509,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,null,solid,D,0
100511,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,A,1
100513,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,null,lace,patchwork,E,1
100514,party,high,4.7,M,Winter,sweetheart,sleeveless,natural,null,chiffon,flowers,null,E,0
100515,cute,Average,4.6,free,Spring,v-neck,full,natural,cotton,chiffon,null,solid,A,1
100516,cute,Average,4.6,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,null,null,D,0
100517,Casual,Average,4.2,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped,B,1
100518,Casual,Average,4.7,M,Automn,o-neck,sleevless,null,cotton,null,null,animal,B,1
100519,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,null,hollowout,solid,D,0
100520,party,high,4.6,M,Summer,slash-neck,sleevless,natural,null,chiffon,null,null,E,1
100522,Casual,Average,4.7,L,Summer,v-neck,short,natural,null,null,null,print,B,1
100523,work,Average,0,M,Summer,v-neck,sleevless,natural,cotton,worsted,null,solid,E,1
100525,Casual,low,0,free,Automn,peterpan-collor,threequarter,empire,null,null,null,null,D,0
100528,party,high,4.5,M,winter,o-neck,sleevless,null,null,null,null,null,A,1
100529,bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,null,chiffon,ruffles,solid,D,1
100531,bohemian,Average,4.8,S,Summer,v-neck,short,natural,cotton,null,null,solid,B,0
100533,Novelty,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print,D,0
100534,cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,A,0
100535,Casual,Average,0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid,C,1
100536,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null,A,1
100537,cute,high,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid,A,1
100538,Casual,Low,4.4,L,Summer,o-neck,sleevless,natural,cotton,chiffon,null,solid,D,0
100542,Casual,Average,4.3,M,Automn,o-neck,sleevless,natural,polyster,null,plain,solid,D,0
100543,Casual,Low,0,free,Spring,v-neck,sleevless,null,cotton,null,null,print,E,0
100545,cute,Average,0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,C,0
100546,vintage,Average,0,L,Summer,sqare-collor,short,empire,cotton,chiffon,null,dot,E,1
100547,Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,null,null,D,0
100548,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,null,applique,solid,D,0
100549,bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork,E,1
100550,Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,D,0
100552,cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid,E,1
100554,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,null,null,null,null,D,0
100555,Casual,low,4.4,free,Spring,o-neck,sleevless,natural,polyster,null,sashes,print,D,0
100556,Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,A,0
100557,Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,E,0
100558,Sexy,low,4.4,free,Summer,bowneck,sleevless,natural,viscos,null,bow,solid,E,0
100559,Casual,Average,0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid,B,0
100560,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,null,button,solid,C,1
100561,cute,High,0,M,Spring,v-neck,full,natural,rayon,null,null,solid,B,1
100562,Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,D,1
100564,Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,E,0
100565,Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,null,null,leopard,D,0
100566,bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,null,null,solid,E,0
100568,bohemian,Low,4.8,free,Summer,o-neck,short,null,null,null,null,animal,E,1
100569,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,null,null,patchwork,D,0
100571,cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,null,print,E,0
100572,Casual,Average,4.8,L,Automn,o-neck,short,natural,cashmere,null,null,null,B,0
100573,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,E,1
100574,Casual,low,4.7,S,Winter,o-neck,sleeevless,natural,knitting,null,lace,solid,E,0
100576,party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,null,B,1
100577,Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork,A,0
100578,Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,null,lace,solid,C,0
100579,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,null,solid,B,1
100581,Brief,Low,4.7,free,Autumn,o-neck,sleevless,natural,null,shiffon,sequined,solid,B,0
100583,bohemian,Average,4.8,L,Winter,o-neck,sleevless,natural,polyster,chiffon,null,solid,A,0
100584,Casual,Average,4.7,M,Automn,v-neck,sleevless,natural,null,chiffon,null,striped,E,1
100585,Sexy,high,5,M,Summer,v-neck,sleevless,natural,mix,null,null,striped,D,0
100587,vintage,Average,4.3,free,winter,o-neck,short,null,chiffonfabric,chiffon,null,print,E,0
100588,Casual,Low,5,free,Spring,v-neck,full,natural,cotton,null,null,solid,C,1
100589,Brief,Low,4.7,M,Winter,o-neck,full,natural,cotton,null,null,patchwork,A,0
100590,Sexy,Average,4.5,M,Summer,bowneck,sleevless,null,cotton,chiffon,null,solid,B,0
100593,Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,null,bow,null,C,1
100594,Casual,Low,4.6,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid,A,0
100596,Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,null,null,patchwork,B,0
100597,Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,null,sashes,print,D,1
100598,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,null,lace,solid,C,1
100599,Sexy,Low,0,L,Summer,o-neck,sleevless,empire,sill,null,null,striped,E,0
100600,Sexy,Low,5,M,Automn,o-neck,full,natural,null,chiffon,lace,print,E,1
100601,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,null,null,solid,A,1
100602,Casual,Average,5,M,Spring,o-neck,thressqatar,null,spandex,null,null,null,B,0
100604,Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,null,bow,patchwork,B,0
100605,Sexy,low,4.7,free,Spring,v-neck,sleeveless,null,null,null,sequined,null,C,1
100606,Sexy,Average,4.8,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,E,0
100607,party,Average,4.8,L,,Sweetheart,sleevless,empire,null,null,pleat,null,B,1
100609,Casual,Low,4.4,M,Winter,o-neck,sleevless,natural,polyster,null,null,solid,B,0
100610,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,null,lace,geometric,A,0
100612,Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,null,pockets,solid,E,0
100613,Casual,low,4.8,free,Spring,o-neck,sleevless,null,chiffonfabric,chiffon,null,print,E,1
100614,Casual,Average,4.9,M,Summer,o-neck,short,dropped,cotton,null,ruffles,patchwork,E,0
100615,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,null,null,solid,D,0
100618,Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,B,1
100620,party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,null,C,1
100621,party,Average,5,M,Spring,o-neck,sleevless,null,null,null,null,null,A,1
100622,Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,null,null,print,C,1
100623,Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,C,1
100625,party,very-high,0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,null,D,1
100626,bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,null,null,print,B,1
100627,Sexy,low,4.7,M,Winter,slash-neck,sleevless,null,nylon,null,sashes,solid,E,1
100628,sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,A,1
100629,Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,D,1
100630,cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,E,1
100633,bohemian,Low,4.6,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid,B,1
100634,Sexy,Average,5,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,null,E,0
100635,Casual,Average,4.7,L,Winter,o-neck,sleevless,natural,polyster,chiffon,null,patchwork,E,0
100637,Casual,Medium,4.9,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,E,0
100640,Casual,low,5,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print,D,0
100641,cute,Low,0,free,Spring,v-neck,sleevless,empire,chiffonfabric,chiffon,null,null,B,1
100642,Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,null,null,null,D,1
100643,Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,null,dobby,lace,animal,B,0
100644,Casual,low,4.6,L,Winter,o-neck,full,null,cotton,null,null,null,A,0
100649,party,,4.8,free,Winter,o-neck,sleevless,empire,null,null,embroidary,null,C,1
100650,party,Medium,0,free,Winter,v-neck,short,empire,null,chiffon,lace,null,E,1
100652,vintage,Average,4.8,M,Summer,v-neck,full,natural,rayon,poplin,null,null,E,1
100653,Casual,Average,5,L,Winter,o-neck,thressqatar,natural,polyster,null,applique,solid,D,0
100654,Casual,Low,4.3,free,Spring,o-neck,full,null,null,chiffon,sashes,none,D,1
100656,vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print,C,0
100657,party,high,0,M,Spring,Sweetheart,sleevless,null,nylon,null,null,null,C,0
100658,bohemian,Low,5,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print,C,1
100660,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,B,0
100662,Casual,Average,4.5,L,Spring,boat-neck,thressqatar,natural,null,dobby,lace,animal,B,1
100665,Casual,Low,4.7,S,Autumn,o-neck,sleevless,natural,cotton,null,null,solid,D,0
100666,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,E,0
100667,Casual,Low,4.7,M,Automn,o-neck,full,null,cotton,null,null,solid,D,0
100668,Sexy,low,4.5,free,Summer,slash-neck,sleevless,null,polyster,Corduroy,null,null,E,0
100670,cute,low,4.7,free,Summer,o-neck,sleevless,null,null,chiffon,null,print,B,1
100671,Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,null,null,E,0
100674,Sexy,low,4.7,free,Summer,v-neck,sleevless,null,null,null,null,null,E,0
100675,Sexy,Average,0,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,C,1
100678,cute,Average,0,XL,Spring,boat-neck,full,null,cotton,worsted,applique,dot,A,1
100679,Sexy,Average,0,S,Automn,v-neck,sleevless,empire,cotton,null,beading,solid,C,0
100681,Casual,Average,4.5,free,Summer,o-neck,short,natural,polyster,null,null,solid,D,0
100682,bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,null,chiffon,null,solid,B,0
100683,Sexy,low,5,free,Spring,v-neck,sleevless,empire,null,chiffon,null,null,A,0
100685,Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,null,sashes,striped,A,0
100686,Casual,High,4.9,S,Spring,o-neck,threequarter,natural,null,null,null,dot,A,1
100687,Casual,Average,4.7,M,winter,o-neck,full,null,null,null,null,animal,A,0
100688,work,Average,5,M,Summer,o-neck,sleveless,natural,null,null,null,solid,E,1
100689,cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,B,0
100691,Casual,Average,0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,null,patchwork,B,0
100692,work,Average,5,free,Winter,o-neck,half,null,microfiber,null,null,null,B,0
100693,Sexy,Average,4.9,free,Summer,sqare-collor,sleevless,natural,polyster,null,sashes,print,B,0
100694,party,very-high,0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,null,D,0
100695,Casual,Average,5,free,Summer,v-neck,sleevless,null,modal,null,null,patchwork,B,0
100696,Sexy,Average,4.1,free,Summer,v-neck,sleevless,natural,cotton,null,lace,null,A,1
100697,Casual,Average,4.8,M,winter,o-neck,threequarter,natural,null,null,null,print,A,1
100698,Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid,E,0
100700,Sexy,Low,4.8,free,Summer,slash-neck,sleevless,empire,silk,null,lace,solid,D,0
100701,Casual,high,4.9,XL,winter,v-neck,full,empire,cotton,null,sequined,solid,D,0
100703,Casual,Average,4.7,XL,Summer,v-neck,halfsleeve,natural,null,broadcloth,null,print,C,1
100704,cute,Average,5,M,Autumn,v-neck,sleevless,natural,cotton,null,null,solid,D,0
100705,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,D,0
100707,Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,null,null,print,A,0
100710,Casual,Low,5,free,winter,o-neck,full,natural,wool,null,applique,solid,B,0
100711,party,Medium,4.8,S,Spring,v-neck,sleevless,empire,null,null,null,null,B,1
100712,Casual,Medium,0,free,Winter,bowneck,full,null,cashmere,knitted,null,solid,A,1
100713,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,null,patchwork,D,0
100714,bohemian,Average,4.6,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid,C,0
100715,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,null,applique,solid,E,1
100716,party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,null,C,0
100717,vintage,low,4,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid,E,0
100719,Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,null,applique,dot,E,0
100721,Casual,very-high,0,small,Spring,o-neck,full,null,null,chiffon,applique,null,D,0
100722,party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,null,B,1
100723,Sexy,Average,4.7,M,Automn,slash-neck,sleevless,natural,nylon,null,rivet,solid,B,0
100726,cute,Low,0,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,B,1
100727,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,C,0
100728,Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,null,chiffon,null,null,B,1
100729,Sexy,Low,4.8,L,Summer,o-neck,sleevless,natural,cotton,null,null,solid,C,1
100730,Casual,Average,0,XL,Spring,bowneck,sleevless,natural,mix,null,lace,solid,C,0
100731,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,C,1
100732,Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,E,1
100733,cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,B,0
100734,party,Average,4.7,M,Spring,o-neck,halfsleeve,empire,null,shiffon,null,patchwork,D,0
100735,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,B,0
100736,cute,Low,4.8,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot,D,1
100738,Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,A,1
100739,work,Average,0,S,Automn,o-neck,sleevless,natural,linen,null,null,patchwork,B,0
100740,Casual,Average,4.5,free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,B,1
100741,vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,null,null,null,C,0
100742,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid,C,0
